ID,1a,1b,1c,1d,1e,1f,2a,2b,2c,2d,2e,2f,3a,3b,3c,3d,3e,3f,4a,4b,4c,4d,4e,4f,5a,5b,5c,5d,5e,5f,6a,6b,6c,6d,6e,6f
61,3,1,4,4,4,2,3,1,4,4,4,2,2,1,1,0,0,1,3,3,3,3,3,1,2,0,1,0,0,1,1,1,0,1,1,1
62,3,3,4,4,,3,3,3,4,4,,3,4,3,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,4,3,3,4,4,3,2
63,4,3,4,4,4,3,4,3,4,4,4,3,3,1,1,2,0,1,4,2,2,3,0,0,3,0,4,0,1,0,3,3,0,0,0,0
64,4,2,3,3,4,3,4,2,3,3,4,3,3,3,3,3,2,2,3,2,4,3,1,2,4,4,3,3,3,3,2,2,0,3,2,1
65,3,2,3,3,3,2,3,2,3,3,3,2,3,3,3,3,0,1,1,1,1,1,0,1,2,1,1,1,1,1,0,2,1,0,1,1
66,1,3,1,2,3,2,1,3,1,2,3,2,2,3,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,2,2,3
67,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,0,1,2,2,2,2,1,1,2,2,2,2,1,2,2,4,2,4,3,0
68,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,3,3,1,0,1,0,0,1,1,0,0,1,1,3,1,1,0
69,3,1,4,3,3,2,3,1,4,3,3,2,2,2,3,1,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,2,1,2
70,2,2,4,2,3,2,2,2,4,2,3,2,1,1,1,1,1,2,2,1,4,2,1,1,2,1,3,3,2,1,4,2,1,2,1,1
71,2,2,4,3,3,3,2,2,4,3,3,3,1,1,0,0,0,0,2,2,2,1,1,0,1,1,1,1,0,0,0,2,2,2,3,1
72,2,2,4,4,3,3,2,2,4,4,3,3,3,3,1,0,0,0,2,2,2,2,2,3,3,2,2,2,1,1,1,2,3,2,3,4
73,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3,3,3
74,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,3,0,3,4,4,4,3,1,3,2,0,3,3,2,3,2,1,0,4,4,4
75,2,1,2,2,2,1,2,1,2,2,2,1,3,3,3,3,0,1,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,2,1,3
76,3,0,3,3,3,2,3,0,3,3,3,2,2,2,3,1,1,2,3,3,4,2,2,2,1,0,0,0,1,0,0,0,2,1,3,2
77,3,1,3,2,3,3,3,1,3,2,3,3,1,2,2,1,0,2,2,2,2,2,2,3,2,1,2,2,1,0,1,0,0,1,0,
78,3,2,3,4,3,3,3,2,3,4,3,3,2,3,2,2,2,3,3,2,4,4,2,3,2,1,3,3,2,0,2,1,4,3,4,4
79,1,0,2,3,3,1,1,0,2,3,3,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2
80,2,0,3,2,3,3,2,0,3,2,3,3,2,1,2,1,0,2,2,2,4,1,0,0,2,0,1,0,1,1,0,1,1,2,2,3
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,1,1,4,2,1,1,1,1,4,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2,2,1,2,2,2,2,2,1,2,2,2,3,3,3,3,1,1,1,1,3,1,0,1,0,0,2,1,0,0,3,1,,4,4,3
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2,2,4,4,4,2,2,2,4,4,4,2,2,4,1,1,0,2,3,3,4,2,1,2,1,0,1,0,2,1,2,2,0,0,0,1
86,3,3,4,3,4,3,3,3,4,3,4,3,4,4,4,4,2,2,2,2,4,2,3,2,3,3,4,3,3,3,2,1,3,2,2,2
